dataset,group,accuracy,precision,recall,f1,auc,hidden_dim,emb_dim
analcatdata_aids,1,0.400000,0.400000,1.000000,0.571429,0.208333,32,4
analcatdata_aids,1,0.300000,0.200000,0.250000,0.222222,0.250000,64,8
analcatdata_aids,1,0.400000,0.375000,0.750000,0.500000,0.291667,128,16
analcatdata_asbestos,1,0.705882,0.000000,0.000000,0.000000,0.708333,32,4
analcatdata_asbestos,1,0.705882,0.500000,0.200000,0.285714,0.658333,64,8
analcatdata_asbestos,1,0.647059,0.428571,0.600000,0.500000,0.591667,128,16
analcatdata_bankruptcy,1,0.600000,0.500000,0.250000,0.333333,0.291667,32,4
analcatdata_bankruptcy,1,0.800000,1.000000,0.500000,0.666667,0.750000,64,8
analcatdata_bankruptcy,1,0.900000,0.800000,1.000000,0.888889,1.000000,128,16
analcatdata_creditscore,1,0.450000,0.500000,0.181818,0.266667,0.535354,32,4
analcatdata_creditscore,1,0.550000,0.550000,1.000000,0.709677,0.868687,64,8
analcatdata_creditscore,1,0.600000,0.578947,1.000000,0.733333,0.989899,128,16
analcatdata_cyyoung8092,1,0.600000,0.000000,0.000000,0.000000,0.541667,32,4
analcatdata_cyyoung8092,1,0.600000,0.000000,0.000000,0.000000,0.614583,64,8
analcatdata_cyyoung8092,1,0.600000,0.000000,0.000000,0.000000,0.572917,128,16
analcatdata_cyyoung9302,1,0.842105,0.000000,0.000000,0.000000,0.823529,32,4
analcatdata_cyyoung9302,1,0.894737,0.000000,0.000000,0.000000,0.764706,64,8
analcatdata_cyyoung9302,1,0.842105,0.000000,0.000000,0.000000,0.764706,128,16
analcatdata_fraud,1,0.555556,0.000000,0.000000,0.000000,0.650000,32,4
analcatdata_fraud,1,0.555556,0.000000,0.000000,0.000000,0.150000,64,8
analcatdata_fraud,1,0.555556,0.000000,0.000000,0.000000,0.625000,128,16
analcatdata_japansolvent,1,0.363636,0.000000,0.000000,0.000000,0.607143,32,4
analcatdata_japansolvent,1,0.909091,1.000000,0.857143,0.923077,0.892857,64,8
analcatdata_japansolvent,1,0.818182,0.857143,0.857143,0.857143,0.928571,128,16
labor,1,0.583333,0.583333,1.000000,0.736842,0.914286,32,4
labor,1,0.666667,0.636364,1.000000,0.777778,0.885714,64,8
labor,1,0.750000,0.700000,1.000000,0.823529,1.000000,128,16
lupus,1,0.500000,0.437500,1.000000,0.608696,0.818182,32,4
lupus,1,0.833333,1.000000,0.571429,0.727273,0.961039,64,8
lupus,1,0.611111,0.500000,0.285714,0.363636,0.714286,128,16
parity5,1,0.428571,0.333333,0.333333,0.333333,0.333333,32,4
parity5,1,0.142857,0.200000,0.333333,0.250000,0.000000,64,8
parity5,1,0.142857,0.200000,0.333333,0.250000,0.000000,128,16
postoperative_patient_data,1,0.722222,0.000000,0.000000,0.000000,0.446154,32,4
postoperative_patient_data,1,0.722222,0.000000,0.000000,0.000000,0.569231,64,8
postoperative_patient_data,1,0.722222,0.000000,0.000000,0.000000,0.323077,128,16
analcatdata_boxing1,2,0.583333,0.526316,0.909091,0.666667,0.587413,32,4
analcatdata_boxing1,2,0.458333,0.458333,1.000000,0.628571,0.769231,64,8
analcatdata_boxing1,2,0.500000,0.478261,1.000000,0.647059,0.720280,128,16
analcatdata_boxing2,2,0.703704,0.652174,1.000000,0.789474,0.777778,32,4
analcatdata_boxing2,2,0.555556,0.578947,0.733333,0.647059,0.733333,64,8
analcatdata_boxing2,2,0.740741,0.785714,0.733333,0.758621,0.844444,128,16
appendicitis,2,0.681818,0.000000,0.000000,0.000000,0.650000,32,4
appendicitis,2,0.954545,1.000000,0.500000,0.666667,0.825000,64,8
appendicitis,2,0.954545,1.000000,0.500000,0.666667,1.000000,128,16
backache,2,0.888889,0.000000,0.000000,0.000000,0.671875,32,4
backache,2,0.888889,0.000000,0.000000,0.000000,0.718750,64,8
