hidden_dim,num_layers,dropout,lr,accuracy,precision,recall,f1,auc,dataset,group
16,1,0.1,0.01,0.4,0.4,1.0,0.5714285714285714,0.25,analcatdata_aids,1
32,2,0.2,0.005,0.4,0.4,1.0,0.5714285714285714,0.2916666666666667,analcatdata_aids,1
64,3,0.3,0.001,0.4,0.4,1.0,0.5714285714285714,0.7291666666666666,analcatdata_aids,1
16,1,0.1,0.01,0.7058823529411765,0.0,0.0,0.0,0.4166666666666667,analcatdata_asbestos,1
32,2,0.2,0.005,0.29411764705882354,0.29411764705882354,1.0,0.45454545454545453,0.43333333333333335,analcatdata_asbestos,1
64,3,0.3,0.001,0.7058823529411765,0.0,0.0,0.0,0.5,analcatdata_asbestos,1
16,1,0.1,0.01,0.8,1.0,0.5,0.6666666666666666,0.875,analcatdata_bankruptcy,1
32,2,0.2,0.005,0.8,0.75,0.75,0.75,0.875,analcatdata_bankruptcy,1
64,3,0.3,0.001,0.8,1.0,0.5,0.6666666666666666,1.0,analcatdata_bankruptcy,1
16,1,0.1,0.01,0.95,1.0,0.9090909090909091,0.9523809523809523,1.0,analcatdata_creditscore,1
32,2,0.2,0.005,1.0,1.0,1.0,1.0,1.0,analcatdata_creditscore,1
64,3,0.3,0.001,1.0,1.0,1.0,1.0,1.0,analcatdata_creditscore,1
16,1,0.1,0.01,0.6,0.0,0.0,0.0,0.875,analcatdata_cyyoung8092,1
32,2,0.2,0.005,0.6,0.0,0.0,0.0,0.875,analcatdata_cyyoung8092,1
64,3,0.3,0.001,0.6,0.0,0.0,0.0,0.8229166666666667,analcatdata_cyyoung8092,1
16,1,0.1,0.01,0.8947368421052632,0.0,0.0,0.0,0.7941176470588235,analcatdata_cyyoung9302,1
32,2,0.2,0.005,0.8947368421052632,0.0,0.0,0.0,0.8823529411764706,analcatdata_cyyoung9302,1
64,3,0.3,0.001,0.8947368421052632,0.0,0.0,0.0,0.8235294117647058,analcatdata_cyyoung9302,1
16,1,0.1,0.01,0.4444444444444444,0.0,0.0,0.0,0.2,analcatdata_fraud,1
32,2,0.2,0.005,0.5555555555555556,0.0,0.0,0.0,0.6,analcatdata_fraud,1
64,3,0.3,0.001,0.4444444444444444,0.0,0.0,0.0,0.15,analcatdata_fraud,1
16,1,0.1,0.01,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0.8571428571428571,analcatdata_japansolvent,1
32,2,0.2,0.005,0.36363636363636365,0.0,0.0,0.0,0.6428571428571428,analcatdata_japansolvent,1
64,3,0.3,0.001,0.36363636363636365,0.0,0.0,0.0,0.7857142857142857,analcatdata_japansolvent,1
16,1,0.1,0.01,0.75,0.7,1.0,0.8235294117647058,0.7142857142857143,labor,1
32,2,0.2,0.005,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.9142857142857143,labor,1
64,3,0.3,0.001,0.8333333333333334,1.0,0.7142857142857143,0.8333333333333334,0.8857142857142857,labor,1
16,1,0.1,0.01,0.6666666666666666,1.0,0.14285714285714285,0.25,0.4025974025974026,lupus,1
32,2,0.2,0.005,0.6666666666666666,1.0,0.14285714285714285,0.25,0.6883116883116882,lupus,1
