dataset,config,accuracy,precision,recall,f1,auc,group
analcatdata_aids,config_1,0.4,0.4,1.0,0.5714285714285714,0.5,1
analcatdata_aids,config_2,0.6,0.0,0.0,0.0,0.4166666666666667,1
analcatdata_aids,config_3,0.3,0.2,0.25,0.2222222222222222,0.2916666666666667,1
analcatdata_asbestos,config_1,0.7058823529411765,0.0,0.0,0.0,0.6,1
analcatdata_asbestos,config_2,0.7058823529411765,0.0,0.0,0.0,0.6,1
analcatdata_asbestos,config_3,0.47058823529411764,0.3,0.6,0.4,0.47500000000000003,1
analcatdata_bankruptcy,config_1,0.4,0.4,1.0,0.5714285714285714,0.5,1
analcatdata_bankruptcy,config_2,0.4,0.375,0.75,0.5,0.47916666666666663,1
analcatdata_bankruptcy,config_3,0.7,1.0,0.25,0.4,0.75,1
analcatdata_creditscore,config_1,0.45,0.5,0.8181818181818182,0.6206896551724138,0.7474747474747474,1
analcatdata_creditscore,config_2,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7323232323232323,1
analcatdata_creditscore,config_3,0.55,0.75,0.2727272727272727,0.4,0.398989898989899,1
analcatdata_cyyoung8092,config_1,0.4,0.4,1.0,0.5714285714285714,0.5,1
analcatdata_cyyoung8092,config_2,0.65,0.6666666666666666,0.25,0.36363636363636365,0.5833333333333334,1
analcatdata_cyyoung8092,config_3,0.65,0.6,0.375,0.46153846153846156,0.6770833333333334,1
analcatdata_cyyoung9302,config_1,0.10526315789473684,0.10526315789473684,1.0,0.19047619047619047,0.5,1
analcatdata_cyyoung9302,config_2,0.7368421052631579,0.0,0.0,0.0,0.5294117647058824,1
analcatdata_cyyoung9302,config_3,0.631578947368421,0.14285714285714285,0.5,0.2222222222222222,0.7058823529411765,1
analcatdata_fraud,config_1,0.5555555555555556,0.5,0.25,0.3333333333333333,0.8,1
analcatdata_fraud,config_2,0.3333333333333333,0.0,0.0,0.0,0.0,1
analcatdata_fraud,config_3,0.6666666666666666,0.5714285714285714,1.0,0.7272727272727273,0.5,1
analcatdata_japansolvent,config_1,0.36363636363636365,0.0,0.0,0.0,0.42857142857142855,1
analcatdata_japansolvent,config_2,0.7272727272727273,0.7,1.0,0.8235294117647058,0.4642857142857143,1
analcatdata_japansolvent,config_3,0.36363636363636365,0.0,0.0,0.0,0.5357142857142857,1
labor,config_1,0.5,0.6666666666666666,0.2857142857142857,0.4,0.5714285714285714,1
labor,config_2,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.2,0.2571428571428571,1
labor,config_3,0.5833333333333334,0.75,0.42857142857142855,0.5454545454545454,0.5285714285714286,1
lupus,config_1,0.6666666666666666,1.0,0.14285714285714285,0.25,0.5714285714285714,1
lupus,config_2,0.6111111111111112,0.0,0.0,0.0,0.5714285714285714,1
lupus,config_3,0.3888888888888889,0.3888888888888889,1.0,0.56,0.5,1
parity5,config_1,0.42857142857142855,0.42857142857142855,1.0,0.6,0.25,1
parity5,config_2,0.5714285714285714,0.5,0.3333333333333333,0.4,0.375,1
parity5,config_3,0.42857142857142855,0.42857142857142855,1.0,0.6,0.3333333333333333,1
postoperative_patient_data,config_1,0.7222222222222222,0.5,0.2,0.2857142857142857,0.43846153846153846,1
postoperative_patient_data,config_2,0.3333333333333333,0.26666666666666666,0.8,0.4,0.7230769230769231,1
postoperative_patient_data,config_3,0.5555555555555556,0.2,0.2,0.2,0.45384615384615384,1
analcatdata_boxing1,config_1,0.5,0.0,0.0,0.0,0.6783216783216783,2
