dataset,accuracy,precision,recall,f1,auc
analcatdata_aids,0.400000,0.400000,1.000000,0.571429,0.250000
analcatdata_asbestos,0.529412,0.363636,0.800000,0.500000,0.600000
analcatdata_bankruptcy,0.800000,1.000000,0.500000,0.666667,0.833333
analcatdata_creditscore,0.550000,0.550000,1.000000,0.709677,1.000000
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.791667
analcatdata_cyyoung9302,0.894737,0.000000,0.000000,0.000000,0.735294
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.250000
analcatdata_japansolvent,0.909091,0.875000,1.000000,0.933333,0.821429
labor,0.583333,0.583333,1.000000,0.736842,0.571429
lupus,0.611111,0.000000,0.000000,0.000000,0.558442
parity5,0.428571,0.428571,1.000000,0.600000,0.250000
postoperative_patient_data,0.722222,0.000000,0.000000,0.000000,0.361538
analcatdata_boxing1,0.458333,0.458333,1.000000,0.628571,0.307692
analcatdata_boxing2,0.592593,0.611111,0.733333,0.666667,0.683333
appendicitis,0.909091,0.000000,0.000000,0.000000,0.950000
backache,0.888889,0.000000,0.000000,0.000000,0.757812
corral,0.937500,1.000000,0.875000,0.933333,1.000000
glass2,0.575758,0.000000,0.000000,0.000000,0.691729
hepatitis,0.806452,0.806452,1.000000,0.892857,0.713333
molecular_biology_promoters,0.409091,0.300000,0.333333,0.315789,0.358974
mux6,0.576923,0.500000,0.727273,0.592593,0.727273
prnn_crabs,0.450000,0.441176,0.833333,0.576923,0.595960
analcatdata_lawsuit,0.943396,0.000000,0.000000,0.000000,0.966667
biomed,0.595238,0.595238,1.000000,0.746269,0.842353
breast_cancer,0.758621,0.000000,0.000000,0.000000,0.817370
heart_h,0.559322,0.559322,1.000000,0.717391,0.822844
heart_statlog,0.833333,0.900000,0.720000,0.800000,0.904828
hungarian,0.694915,1.000000,0.052632,0.100000,0.848684
prnn_synth,0.860000,0.833333,0.925926,0.877193,0.929147
sonar,0.500000,0.000000,0.000000,0.000000,0.578231
spect,0.777778,0.777778,1.000000,0.875000,0.913690
bupa,0.507246,0.408163,0.800000,0.540541,0.611818
cleve,0.803279,0.736842,0.666667,0.700000,0.835714
colic,0.635135,0.635135,1.000000,0.776860,0.565800
haberman,0.741935,0.000000,0.000000,0.000000,0.662364
heart_c,0.754098,0.806452,0.735294,0.769231,0.716776
horse_colic,0.716216,0.875000,0.259259,0.400000,0.606777
ionosphere,0.859155,0.909091,0.869565,0.888889,0.914783
spectf,0.700000,0.700000,1.000000,0.823529,0.881438
clean1,0.593750,0.666667,0.050000,0.093023,0.706250
house_votes_84,0.586207,0.000000,0.000000,0.000000,0.723856
irish,0.960000,0.952381,0.952381,0.952381,0.997126
saheart,0.698925,0.666667,0.068966,0.125000,0.725754
vote,0.620690,0.000000,0.000000,0.000000,0.777778
