dataset,group,accuracy,precision,recall,f1,auc,hidden_dim,rnn_type,use_attention
analcatdata_aids,1,0.400000,0.400000,1.000000,0.571429,0.416667,32,gru,True
analcatdata_aids,1,0.400000,0.250000,0.250000,0.250000,0.375000,64,gru,False
analcatdata_aids,1,0.400000,0.400000,1.000000,0.571429,0.291667,128,lstm,True
analcatdata_asbestos,1,0.705882,0.000000,0.000000,0.000000,0.683333,32,gru,True
analcatdata_asbestos,1,0.647059,0.428571,0.600000,0.500000,0.750000,64,gru,False
analcatdata_asbestos,1,0.588235,0.333333,0.400000,0.363636,0.650000,128,lstm,True
analcatdata_bankruptcy,1,0.800000,1.000000,0.500000,0.666667,0.833333,32,gru,True
analcatdata_bankruptcy,1,0.800000,1.000000,0.500000,0.666667,0.833333,64,gru,False
analcatdata_bankruptcy,1,0.800000,1.000000,0.500000,0.666667,0.958333,128,lstm,True
analcatdata_creditscore,1,0.550000,0.550000,1.000000,0.709677,1.000000,32,gru,True
analcatdata_creditscore,1,0.550000,0.550000,1.000000,0.709677,1.000000,64,gru,False
analcatdata_creditscore,1,0.550000,0.550000,1.000000,0.709677,1.000000,128,lstm,True
analcatdata_cyyoung8092,1,0.600000,0.000000,0.000000,0.000000,0.489583,32,gru,True
analcatdata_cyyoung8092,1,0.600000,0.000000,0.000000,0.000000,0.854167,64,gru,False
analcatdata_cyyoung8092,1,0.600000,0.000000,0.000000,0.000000,0.739583,128,lstm,True
analcatdata_cyyoung9302,1,0.894737,0.000000,0.000000,0.000000,0.588235,32,gru,True
analcatdata_cyyoung9302,1,0.894737,0.000000,0.000000,0.000000,0.911765,64,gru,False
analcatdata_cyyoung9302,1,0.894737,0.000000,0.000000,0.000000,0.823529,128,lstm,True
analcatdata_fraud,1,0.555556,0.000000,0.000000,0.000000,0.100000,32,gru,True
analcatdata_fraud,1,0.555556,0.000000,0.000000,0.000000,0.600000,64,gru,False
analcatdata_fraud,1,0.555556,0.000000,0.000000,0.000000,0.750000,128,lstm,True
analcatdata_japansolvent,1,0.818182,0.857143,0.857143,0.857143,0.857143,32,gru,True
analcatdata_japansolvent,1,0.818182,0.857143,0.857143,0.857143,0.928571,64,gru,False
analcatdata_japansolvent,1,0.818182,0.857143,0.857143,0.857143,0.821429,128,lstm,True
labor,1,0.583333,0.583333,1.000000,0.736842,0.371429,32,gru,True
labor,1,0.583333,0.583333,1.000000,0.736842,0.828571,64,gru,False
labor,1,0.583333,0.583333,1.000000,0.736842,0.542857,128,lstm,True
lupus,1,0.611111,0.000000,0.000000,0.000000,0.844156,32,gru,True
lupus,1,0.611111,0.000000,0.000000,0.000000,0.493506,64,gru,False
lupus,1,0.611111,0.000000,0.000000,0.000000,0.324675,128,lstm,True
parity5,1,0.285714,0.333333,0.666667,0.444444,0.416667,32,gru,True
parity5,1,0.142857,0.000000,0.000000,0.000000,0.166667,64,gru,False
parity5,1,0.285714,0.333333,0.666667,0.444444,0.250000,128,lstm,True
postoperative_patient_data,1,0.722222,0.000000,0.000000,0.000000,0.361538,32,gru,True
postoperative_patient_data,1,0.722222,0.000000,0.000000,0.000000,0.407692,64,gru,False
postoperative_patient_data,1,0.722222,0.000000,0.000000,0.000000,0.346154,128,lstm,True
analcatdata_boxing1,2,0.458333,0.458333,1.000000,0.628571,0.307692,32,gru,True
analcatdata_boxing1,2,0.458333,0.458333,1.000000,0.628571,0.615385,64,gru,False
analcatdata_boxing1,2,0.458333,0.458333,1.000000,0.628571,0.356643,128,lstm,True
analcatdata_boxing2,2,0.555556,0.555556,1.000000,0.714286,0.638889,32,gru,True
analcatdata_boxing2,2,0.814815,0.812500,0.866667,0.838710,0.772222,64,gru,False
analcatdata_boxing2,2,0.740741,0.750000,0.800000,0.774194,0.805556,128,lstm,True
appendicitis,2,0.909091,0.000000,0.000000,0.000000,0.950000,32,gru,True
appendicitis,2,0.909091,0.000000,0.000000,0.000000,0.875000,64,gru,False
appendicitis,2,0.909091,0.000000,0.000000,0.000000,0.950000,128,lstm,True
backache,2,0.888889,0.000000,0.000000,0.000000,0.710938,32,gru,True
backache,2,0.888889,0.000000,0.000000,0.000000,0.914062,64,gru,False
backache,2,0.888889,0.000000,0.000000,0.000000,0.765625,128,lstm,True
corral,2,0.500000,0.000000,0.000000,0.000000,1.000000,32,gru,True
corral,2,0.750000,0.900000,0.562500,0.692308,0.847656,64,gru,False
corral,2,0.906250,1.000000,0.812500,0.896552,1.000000,128,lstm,True
glass2,2,0.575758,0.000000,0.000000,0.000000,0.466165,32,gru,True
glass2,2,0.575758,0.000000,0.000000,0.000000,0.635338,64,gru,False
glass2,2,0.575758,0.000000,0.000000,0.000000,0.563910,128,lstm,True
hepatitis,2,0.806452,0.806452,1.000000,0.892857,0.760000,32,gru,True
hepatitis,2,0.806452,0.806452,1.000000,0.892857,0.766667,64,gru,False
hepatitis,2,0.806452,0.806452,1.000000,0.892857,0.713333,128,lstm,True
molecular_biology_promoters,2,0.409091,0.409091,1.000000,0.580645,0.358974,32,gru,True
molecular_biology_promoters,2,0.590909,0.500000,0.777778,0.608696,0.649573,64,gru,False
molecular_biology_promoters,2,0.409091,0.409091,1.000000,0.580645,0.393162,128,lstm,True
mux6,2,0.500000,0.458333,1.000000,0.628571,0.654545,32,gru,True
mux6,2,0.653846,0.583333,0.636364,0.608696,0.781818,64,gru,False
mux6,2,0.576923,0.500000,0.727273,0.592593,0.703030,128,lstm,True
prnn_crabs,2,0.475000,0.451613,0.777778,0.571429,0.616162,32,gru,True
prnn_crabs,2,0.500000,0.466667,0.777778,0.583333,0.666667,64,gru,False
prnn_crabs,2,0.475000,0.451613,0.777778,0.571429,0.651515,128,lstm,True
analcatdata_lawsuit,3,0.943396,0.000000,0.000000,0.000000,0.953333,32,gru,True
analcatdata_lawsuit,3,0.943396,0.000000,0.000000,0.000000,0.886667,64,gru,False
analcatdata_lawsuit,3,0.943396,0.000000,0.000000,0.000000,0.846667,128,lstm,True
biomed,3,0.595238,0.595238,1.000000,0.746269,0.851765,32,gru,True
biomed,3,0.595238,0.595238,1.000000,0.746269,0.847059,64,gru,False
biomed,3,0.595238,0.595238,1.000000,0.746269,0.802353,128,lstm,True
breast_cancer,3,0.758621,0.000000,0.000000,0.000000,0.786526,32,gru,True
breast_cancer,3,0.758621,0.000000,0.000000,0.000000,0.793019,64,gru,False
breast_cancer,3,0.758621,0.000000,0.000000,0.000000,0.796266,128,lstm,True
heart_h,3,0.559322,0.559322,1.000000,0.717391,0.799534,32,gru,True
heart_h,3,0.796610,0.838710,0.787879,0.812500,0.825175,64,gru,False
heart_h,3,0.796610,0.838710,0.787879,0.812500,0.847319,128,lstm,True
heart_statlog,3,0.833333,0.900000,0.720000,0.800000,0.921379,32,gru,True
heart_statlog,3,0.870370,0.875000,0.840000,0.857143,0.957241,64,gru,False
heart_statlog,3,0.870370,0.875000,0.840000,0.857143,0.921379,128,lstm,True
hungarian,3,0.677966,0.000000,0.000000,0.000000,0.861842,32,gru,True
hungarian,3,0.796610,0.733333,0.578947,0.647059,0.846053,64,gru,False
hungarian,3,0.796610,0.640000,0.842105,0.727273,0.850000,128,lstm,True
prnn_synth,3,0.720000,0.675676,0.925926,0.781250,0.861514,32,gru,True
prnn_synth,3,0.860000,0.833333,0.925926,0.877193,0.933977,64,gru,False
prnn_synth,3,0.860000,0.812500,0.962963,0.881356,0.909823,128,lstm,True
sonar,3,0.500000,0.000000,0.000000,0.000000,0.580499,32,gru,True
sonar,3,0.500000,0.000000,0.000000,0.000000,0.643991,64,gru,False
sonar,3,0.500000,0.000000,0.000000,0.000000,0.628118,128,lstm,True
spect,3,0.777778,0.777778,1.000000,0.875000,0.917659,32,gru,True
spect,3,0.777778,0.777778,1.000000,0.875000,0.874008,64,gru,False
spect,3,0.777778,0.777778,1.000000,0.875000,0.907738,128,lstm,True
bupa,4,0.362319,0.362319,1.000000,0.531915,0.600000,32,gru,True
bupa,4,0.623188,0.481481,0.520000,0.500000,0.663636,64,gru,False
bupa,4,0.420290,0.384615,1.000000,0.555556,0.626364,128,lstm,True
cleve,4,0.737705,0.600000,0.714286,0.652174,0.821429,32,gru,True
cleve,4,0.770492,0.684211,0.619048,0.650000,0.834524,64,gru,False
cleve,4,0.754098,0.607143,0.809524,0.693878,0.852381,128,lstm,True
colic,4,0.635135,0.635135,1.000000,0.776860,0.650906,32,gru,True
colic,4,0.648649,0.672131,0.872340,0.759259,0.637510,64,gru,False
colic,4,0.702703,0.804878,0.702128,0.750000,0.704492,128,lstm,True
haberman,4,0.741935,0.000000,0.000000,0.000000,0.633832,32,gru,True
haberman,4,0.709677,0.416667,0.312500,0.357143,0.646060,64,gru,False
haberman,4,0.741935,0.000000,0.000000,0.000000,0.661005,128,lstm,True
heart_c,4,0.754098,0.693878,1.000000,0.819277,0.850763,32,gru,True
heart_c,4,0.770492,0.833333,0.735294,0.781250,0.847495,64,gru,False
heart_c,4,0.655738,0.724138,0.617647,0.666667,0.800654,128,lstm,True
horse_colic,4,0.662162,0.750000,0.111111,0.193548,0.586288,32,gru,True
horse_colic,4,0.702703,0.666667,0.370370,0.476190,0.661939,64,gru,False
horse_colic,4,0.716216,0.714286,0.370370,0.487805,0.652482,128,lstm,True
ionosphere,4,0.732394,0.745455,0.891304,0.811881,0.790435,32,gru,True
ionosphere,4,0.704225,0.878788,0.630435,0.734177,0.800000,64,gru,False
ionosphere,4,0.887324,0.913043,0.913043,0.913043,0.907826,128,lstm,True
spectf,4,0.700000,0.700000,1.000000,0.823529,0.877551,32,gru,True
spectf,4,0.700000,0.700000,1.000000,0.823529,0.925170,64,gru,False
spectf,4,0.700000,0.700000,1.000000,0.823529,0.882410,128,lstm,True
clean1,5,0.583333,0.500000,0.025000,0.047619,0.772321,32,gru,True
clean1,5,0.687500,0.631579,0.600000,0.615385,0.763839,64,gru,False
clean1,5,0.614583,0.615385,0.200000,0.301887,0.643304,128,lstm,True
house_votes_84,5,0.586207,0.000000,0.000000,0.000000,0.614379,32,gru,True
house_votes_84,5,0.862069,0.875000,0.777778,0.823529,0.918845,64,gru,False
house_votes_84,5,0.586207,0.000000,0.000000,0.000000,0.717320,128,lstm,True
irish,5,0.880000,0.894737,0.809524,0.850000,0.942939,32,gru,True
irish,5,0.930000,0.888889,0.952381,0.919540,0.981527,64,gru,False
irish,5,0.980000,0.976190,0.976190,0.976190,0.997947,128,lstm,True
saheart,5,0.688172,0.000000,0.000000,0.000000,0.724677,32,gru,True
saheart,5,0.720430,0.600000,0.310345,0.409091,0.761315,64,gru,False
saheart,5,0.666667,0.464286,0.448276,0.456140,0.731142,128,lstm,True
vote,5,0.620690,0.000000,0.000000,0.000000,0.781706,32,gru,True
vote,5,0.850575,0.794118,0.818182,0.805970,0.910213,64,gru,False
vote,5,0.724138,0.615385,0.727273,0.666667,0.804714,128,lstm,True
