dataset,accuracy,precision,recall,f1,auc,group
analcatdata_aids,0.600000,0.000000,0.000000,0.000000,0.458333,1
analcatdata_asbestos,0.294118,0.294118,1.000000,0.454545,0.566667,1
analcatdata_bankruptcy,0.300000,0.333333,0.750000,0.461538,0.625000,1
analcatdata_creditscore,0.550000,0.583333,0.636364,0.608696,0.555556,1
analcatdata_cyyoung8092,0.600000,0.000000,0.000000,0.000000,0.802083,1
analcatdata_cyyoung9302,0.789474,0.250000,0.500000,0.333333,0.558824,1
analcatdata_fraud,0.555556,0.000000,0.000000,0.000000,0.650000,1
analcatdata_japansolvent,0.636364,0.636364,1.000000,0.777778,0.785714,1
labor,0.916667,0.875000,1.000000,0.933333,1.000000,1
lupus,0.611111,0.000000,0.000000,0.000000,0.870130,1
parity5,0.571429,0.000000,0.000000,0.000000,0.000000,1
postoperative_patient_data,0.722222,0.000000,0.000000,0.000000,0.453846,1
analcatdata_boxing1,0.541667,0.000000,0.000000,0.000000,0.615385,2
analcatdata_boxing2,0.444444,0.000000,0.000000,0.000000,0.672222,2
appendicitis,0.909091,0.000000,0.000000,0.000000,0.575000,2
backache,0.888889,0.000000,0.000000,0.000000,0.851562,2
corral,0.500000,0.000000,0.000000,0.000000,0.796875,2
glass2,0.606061,0.520000,0.928571,0.666667,0.661654,2
hepatitis,0.806452,0.806452,1.000000,0.892857,0.700000,2
molecular_biology_promoters,0.681818,0.571429,0.888889,0.695652,0.897436,2
mux6,0.423077,0.423077,1.000000,0.594595,0.478788,2
prnn_crabs,0.550000,0.500000,0.666667,0.571429,0.785354,2
analcatdata_lawsuit,0.943396,0.000000,0.000000,0.000000,0.920000,3
biomed,0.595238,0.595238,1.000000,0.746269,0.889412,3
breast_cancer,0.758621,0.000000,0.000000,0.000000,0.728084,3
heart_h,0.813559,0.750000,1.000000,0.857143,0.909091,3
heart_statlog,0.722222,0.857143,0.480000,0.615385,0.873103,3
hungarian,0.796610,0.684211,0.684211,0.684211,0.876316,3
prnn_synth,0.540000,0.540000,1.000000,0.701299,0.494364,3
sonar,0.809524,0.842105,0.761905,0.800000,0.863946,3
spect,0.777778,0.777778,1.000000,0.875000,0.796627,3
bupa,0.420290,0.346939,0.680000,0.459459,0.526364,4
cleve,0.786885,0.700000,0.666667,0.682927,0.897619,4
colic,0.756757,0.754386,0.914894,0.826923,0.783294,4
haberman,0.338710,0.244898,0.750000,0.369231,0.481658,4
heart_c,0.770492,0.763158,0.852941,0.805556,0.827887,4
horse_colic,0.743243,0.722222,0.481481,0.577778,0.741529,4
ionosphere,0.943662,0.977273,0.934783,0.955556,0.967826,4
spectf,0.785714,0.783333,0.959184,0.862385,0.886297,4
clean1,1.000000,1.000000,1.000000,1.000000,1.000000,5
house_votes_84,0.896552,0.864865,0.888889,0.876712,0.977124,5
irish,0.680000,0.573529,0.928571,0.709091,0.804598,5
saheart,0.688172,0.000000,0.000000,0.000000,0.641703,5
vote,0.931034,0.864865,0.969697,0.914286,0.991021,5
