dim,depth,heads,attn_dropout,accuracy,precision,recall,f1,auc,dataset,group
16,2,2,0.1,0.6,0.0,0.0,0.0,0.75,analcatdata_aids,1
32,4,4,0.2,0.6,0.5,1.0,0.6666666666666666,0.625,analcatdata_aids,1
64,3,4,0.1,0.4,0.4,1.0,0.5714285714285714,0.9583333333333334,analcatdata_aids,1
16,2,2,0.1,0.29411764705882354,0.29411764705882354,1.0,0.45454545454545453,0.43333333333333335,analcatdata_asbestos,1
32,4,4,0.2,0.7058823529411765,0.0,0.0,0.0,0.4833333333333333,analcatdata_asbestos,1
64,3,4,0.1,0.29411764705882354,0.29411764705882354,1.0,0.45454545454545453,0.4666666666666667,analcatdata_asbestos,1
16,2,2,0.1,0.4,0.4,1.0,0.5714285714285714,0.8333333333333334,analcatdata_bankruptcy,1
32,4,4,0.2,0.3,0.3333333333333333,0.75,0.46153846153846156,0.45833333333333337,analcatdata_bankruptcy,1
64,3,4,0.1,0.7,1.0,0.25,0.4,0.75,analcatdata_bankruptcy,1
16,2,2,0.1,0.55,0.55,1.0,0.7096774193548387,0.5151515151515151,analcatdata_creditscore,1
32,4,4,0.2,0.55,0.6,0.5454545454545454,0.5714285714285714,0.5656565656565656,analcatdata_creditscore,1
64,3,4,0.1,0.55,0.55,1.0,0.7096774193548387,0.46464646464646464,analcatdata_creditscore,1
16,2,2,0.1,0.6,0.0,0.0,0.0,0.27083333333333337,analcatdata_cyyoung8092,1
32,4,4,0.2,0.6,0.0,0.0,0.0,0.5625,analcatdata_cyyoung8092,1
64,3,4,0.1,0.6,0.0,0.0,0.0,0.07291666666666667,analcatdata_cyyoung8092,1
16,2,2,0.1,0.8947368421052632,0.5,0.5,0.5,0.8823529411764706,analcatdata_cyyoung9302,1
32,4,4,0.2,0.8947368421052632,0.5,0.5,0.5,0.8529411764705882,analcatdata_cyyoung9302,1
64,3,4,0.1,0.8947368421052632,0.0,0.0,0.0,0.7941176470588236,analcatdata_cyyoung9302,1
16,2,2,0.1,0.5555555555555556,0.0,0.0,0.0,0.3,analcatdata_fraud,1
32,4,4,0.2,0.5555555555555556,0.0,0.0,0.0,0.09999999999999998,analcatdata_fraud,1
64,3,4,0.1,0.5555555555555556,0.0,0.0,0.0,0.6,analcatdata_fraud,1
16,2,2,0.1,0.5454545454545454,1.0,0.2857142857142857,0.4444444444444444,0.8214285714285714,analcatdata_japansolvent,1
32,4,4,0.2,0.7272727272727273,0.7,1.0,0.8235294117647058,0.75,analcatdata_japansolvent,1
64,3,4,0.1,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778,0.5714285714285714,analcatdata_japansolvent,1
16,2,2,0.1,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,0.6,labor,1
32,4,4,0.2,0.6666666666666666,0.6363636363636364,1.0,0.7777777777777778,0.8571428571428571,labor,1
64,3,4,0.1,0.75,0.7,1.0,0.8235294117647058,0.8285714285714285,labor,1
16,2,2,0.1,0.3888888888888889,0.3888888888888889,1.0,0.56,0.24675324675324672,lupus,1
32,4,4,0.2,0.7777777777777778,0.6666666666666666,0.8571428571428571,0.75,0.9090909090909091,lupus,1
64,3,4,0.1,0.3888888888888889,0.3888888888888889,1.0,0.56,0.07792207792207795,lupus,1
16,2,2,0.1,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.08333333333333333,parity5,1
32,4,4,0.2,0.14285714285714285,0.2,0.3333333333333333,0.25,0.0,parity5,1
64,3,4,0.1,0.5714285714285714,0.0,0.0,0.0,0.16666666666666666,parity5,1
16,2,2,0.1,0.7222222222222222,0.0,0.0,0.0,0.5461538461538461,postoperative_patient_data,1
